timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2023/02/24 11:16:55.233,269,GET - Homepage-0,302,,Thread group name 1-8,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,269,0,73
2023/02/24 11:16:55.502,156,GET - Homepage-1,200,,Thread group name 1-8,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,156,0,0
2023/02/24 11:16:55.733,466,GET - Homepage,200,,Thread group name 1-9,text,false,Test failed: code expected to match /[200-399]/,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,313,0,92
2023/02/24 11:16:55.733,313,GET - Homepage-0,302,,Thread group name 1-9,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,313,0,92
2023/02/24 11:16:56.046,153,GET - Homepage-1,200,,Thread group name 1-9,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,153,0,0
2023/02/24 11:16:56.247,464,GET - Homepage,200,,Thread group name 1-10,text,false,Test failed: code expected to match /[200-399]/,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,324,0,103
2023/02/24 11:16:56.247,324,GET - Homepage-0,302,,Thread group name 1-10,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,324,0,103
2023/02/24 11:16:56.572,139,GET - Homepage-1,200,,Thread group name 1-10,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,139,0,0
2023/02/24 11:16:56.733,490,GET - Homepage,200,,Thread group name 1-11,text,false,Test failed: code expected to match /[200-399]/,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,263,0,89
2023/02/24 11:16:56.733,263,GET - Homepage-0,302,,Thread group name 1-11,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,263,0,89
2023/02/24 11:16:56.997,226,GET - Homepage-1,200,,Thread group name 1-11,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,226,0,0
2023/02/24 11:16:57.234,458,GET - Homepage,200,,Thread group name 1-12,text,false,Test failed: code expected to match /[200-399]/,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,320,0,97
2023/02/24 11:16:57.234,320,GET - Homepage-0,302,,Thread group name 1-12,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,320,0,97
2023/02/24 11:16:57.554,138,GET - Homepage-1,200,,Thread group name 1-12,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,138,0,0
2023/02/24 11:16:57.737,457,GET - Homepage,200,,Thread group name 1-13,text,false,Test failed: code expected to match /[200-399]/,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,314,0,124
2023/02/24 11:16:57.737,314,GET - Homepage-0,302,,Thread group name 1-13,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,314,0,124
2023/02/24 11:16:58.051,143,GET - Homepage-1,200,,Thread group name 1-13,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,143,0,0
2023/02/24 11:16:58.234,397,GET - Homepage,200,,Thread group name 1-14,text,false,Test failed: code expected to match /[200-399]/,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,303,0,82
2023/02/24 11:16:58.234,303,GET - Homepage-0,302,,Thread group name 1-14,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,303,0,82
2023/02/24 11:16:58.537,94,GET - Homepage-1,200,,Thread group name 1-14,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,94,0,0
2023/02/24 11:16:58.733,476,GET - Homepage,200,,Thread group name 1-15,text,false,Test failed: code expected to match /[200-399]/,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,312,0,120
2023/02/24 11:16:58.733,312,GET - Homepage-0,302,,Thread group name 1-15,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,312,0,120
2023/02/24 11:16:59.045,164,GET - Homepage-1,200,,Thread group name 1-15,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,164,0,0
2023/02/24 11:16:59.234,548,GET - Homepage,200,,Thread group name 1-16,text,false,Test failed: code expected to match /[200-399]/,451,723,2,2,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,344,0,131
2023/02/24 11:16:59.234,344,GET - Homepage-0,302,,Thread group name 1-16,,true,,209,361,2,2,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,344,0,131
2023/02/24 11:16:59.578,204,GET - Homepage-1,200,,Thread group name 1-16,text,true,,242,362,2,2,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,204,0,0
2023/02/24 11:16:59.734,346,GET - Homepage,200,,Thread group name 1-17,text,false,Test failed: code expected to match /[200-399]/,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,197,0,80
